participant,installed_python,python_experience,crawl_debugged,code_generation,left_super,imports,dataset_reference,bot_extensions,unused_code,suggest_updates,first_activity_difficultty,fsecond_activity_difficultty
1,1,2,0,0,1,0,0,0,0,1,1,1
2,1,3,0,1,0,0,0,0,0,0,1,1
3,1,2,0,0,1,0,1,0,0,0,1,1
4,1,2,0,1,1,1,1,0,0,1,1,1
5,1,2,1,1,0,0,0,0,1,0,1,1
6,1,2,1,1,0,0,1,0,1,1,2,1
7,1,2,0,0,0,0,0,0,0,0,1,1
8,1,2,0,0,1,1,0,1,0,0,1,1
9,1,1,1,1,0,1,0,0,0,0,2,2
10,1,2,0,0,1,0,0,1,0,0,2,1
11,1,2,1,0,0,0,0,0,0,0,1,1
12,1,2,0,0,0,1,0,1,0,0,1,1
13,0,1,0,1,1,0,0,1,0,0,2,2
14,1,2,0,0,0,0,0,0,1,0,1,1
15,1,2,1,0,0,0,0,0,0,1,1,1
16,0,2,0,1,0,0,1,,0,0,2,1
17,1,2,0,0,0,0,0,0,0,1,1,1
18,0,1,0,1,1,0,1,1,0,0,2,3
19,0,1,0,1,0,0,0,0,0,0,1,2
20,1,2,0,0,0,0,1,0,0,0,1,1
21,1,2,0,0,1,0,0,0,0,0,1,1
22,0,1,1,1,0,0,0,1,0,0,2,1
23,1,3,0,0,0,0,0,0,0,0,1,1
24,1,2,0,0,1,0,0,1,0,0,1,1
25,0,1,0,1,1,0,0,0,0,1,2,1
26,1,2,0,1,0,0,0,0,0,0,1,1
27,0,2,0,1,0,0,0,0,0,0,2,1
28,1,3,0,0,0,0,0,0,0,1,1,1